SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,2,W21709307304478-WEd1a,Babhul Tree,Vachellia nilotica,19.30546397,76.49932656,65,36.9,05_10,28.3,Good,Ward 2,Akshay Hake,Private,Good
2,2,W21709307310587-WEd1a,Babhul Tree,Vachellia nilotica,19.30456469,76.49977718,70,39.8,05_10,30.4,Good,Ward 2,Akshay Hake,Private,Good
3,2,W21709307320458-WEd1a,Babhul Tree,Vachellia nilotica,19.30269841,76.49968531,49,27.8,05_10,21.3,Good,Ward 2,Akshay Hake,Private,Good
4,2,W21709307332707-WEd1a,Babhul Tree,Vachellia nilotica,19.3015273,76.50034916,48,27.3,05_10,20.9,Good,Ward 2,Akshay Hake,Private,Good
5,2,W21709307354973-WEd1a,Babhul Tree,Vachellia nilotica,19.30088621,76.50071528,39,22.2,05_10,17.0,Good,Ward 2,Akshay Hake,Private,Good
6,2,W21709307368555-WEd1a,Babhul Tree,Vachellia nilotica,19.30089729,76.50310446,50,28.4,05_10,21.7,Good,Ward 2,Akshay Hake,Private,Good
7,2,W21709307373807-WEd1a,Babhul Tree,Vachellia nilotica,19.30081723,76.50164366,66,37.5,05_10,28.7,Good,Ward 2,Akshay Hake,Private,Good
8,2,W21709307389382-WEd1a,Babhul Tree,Vachellia nilotica,19.30367554,76.50389235,53,30.1,05_10,23.0,Good,Ward 2,Akshay Hake,Private,Good
9,2,W21709307396618-WEd1a,Babhul Tree,Vachellia nilotica,19.30571774,76.50399595,61,34.7,05_10,26.5,Good,Ward 2,Akshay Hake,Private,Good
10,2,W21709307404786-WEd1a,Babhul Tree,Vachellia nilotica,19.30557187,76.50304779,49,27.8,05_10,21.3,Good,Ward 2,Akshay Hake,Private,Good
11,2,W21709307410282-WEd1a,Babhul Tree,Vachellia nilotica,19.30587848,76.50260791,55,31.3,05_10,23.9,Good,Ward 2,Akshay Hake,Private,Good
12,2,W21709307420555-WEd1a,Babhul Tree,Vachellia nilotica,19.30542473,76.50100261,48,27.3,05_10,20.9,Good,Ward 2,Akshay Hake,Private,Good
13,2,W21709528204166-akK0O,Jaswand tree,Hibiscus rosa-sinensis,19.30100645,76.5011736,22,12.5,05_10,9.6,Good,Ward 2,Akshay Hake,Private,Good
14,2,W21709528216966-akK0O,Indian jujube Tree,Ziziphus mauritiana,19.30100487,76.50125474,23,13.1,05_10,10.0,Good,Ward 2,Akshay Hake,Private,Good
15,2,W21709528224057-akK0O,Indian jujube Tree,Ziziphus mauritiana,19.30101152,76.5012135,26,14.8,05_10,11.3,Good,Ward 2,Akshay Hake,Private,Good
16,2,W21709528224970-akK0O,Indian jujube Tree,Ziziphus mauritiana,19.30097608,76.50125574,28,15.9,05_10,12.2,Good,Ward 2,Akshay Hake,Private,Good
17,2,W21709528247142-akK0O,Neem Tree,Azadirachta indica,19.30111847,76.50077529,61,34.7,05_10,26.5,Good,Ward 2,Akshay Hake,Private,Good
18,2,W21709528248550-akK0O,Neem Tree,Azadirachta indica,19.30116087,76.50090437,52,29.5,05_10,22.6,Good,Ward 2,Akshay Hake,Private,Good
19,2,W21709528249022-akK0O,Neem Tree,Azadirachta indica,19.30115992,76.50095232,59,33.5,05_10,25.7,Good,Ward 2,Akshay Hake,Private,Good
20,2,W21709528250651-akK0O,Neem Tree,Azadirachta indica,19.30122511,76.50098048,53,30.1,05_10,23.0,Good,Ward 2,Akshay Hake,Private,Good
21,2,W21709528251028-akK0O,Neem Tree,Azadirachta indica,19.30125738,76.50092918,54,30.7,05_10,23.5,Good,Ward 2,Akshay Hake,Private,Good
22,2,W21709528254329-akK0O,Neem Tree,Azadirachta indica,19.30136149,76.50094394,57,32.4,05_10,24.8,Good,Ward 2,Akshay Hake,Private,Good
23,2,W21709528254819-akK0O,Neem Tree,Azadirachta indica,19.30138839,76.5010234,53,30.1,05_10,23.0,Good,Ward 2,Akshay Hake,Private,Good
24,2,W21709528256157-akK0O,Neem Tree,Azadirachta indica,19.30131972,76.50095567,29,16.5,05_10,12.6,Good,Ward 2,Akshay Hake,Private,Good
25,2,W21709528260783-akK0O,Neem Tree,Azadirachta indica,19.30143427,76.50104955,52,29.5,05_10,22.6,Good,Ward 2,Akshay Hake,Private,Good
26,2,W21709528269569-akK0O,Peepal Tree,Ficus religiosa,19.30125137,76.50099691,48,27.3,05_10,20.9,Good,Ward 2,Akshay Hake,Private,Good
27,2,W21709528271267-akK0O,Peepal Tree,Ficus religiosa,19.30117923,76.50099322,35,19.9,05_10,15.2,Good,Ward 2,Akshay Hake,Private,Good
28,2,W21709528287816-akK0O,Neem Tree,Azadirachta indica,19.30127542,76.5005919,28,15.9,05_10,12.2,Good,Ward 2,Akshay Hake,Private,Good
29,2,W21709528288241-akK0O,Neem Tree,Azadirachta indica,19.30115897,76.50056474,62,35.2,05_10,27.0,Good,Ward 2,Akshay Hake,Private,Good
30,2,W21709528288613-akK0O,Neem Tree,Azadirachta indica,19.30123017,76.50070556,34,19.3,05_10,14.8,Good,Ward 2,Akshay Hake,Private,Good
31,2,W21709528289416-akK0O,Neem Tree,Azadirachta indica,19.30109822,76.50054563,21,11.9,05_10,9.1,Good,Ward 2,Akshay Hake,Private,Good
32,2,W21709528290005-akK0O,Neem Tree,Azadirachta indica,19.30115929,76.50061771,25,14.2,05_10,10.9,Good,Ward 2,Akshay Hake,Private,Good
33,2,W21709528291313-akK0O,Neem Tree,Azadirachta indica,19.30115613,76.50039945,35,19.9,05_10,15.2,Good,Ward 2,Akshay Hake,Private,Good
